,Predicciones,Reales
2021-01-22 19:00:00,55.739066666666695,57.24
2021-01-22 20:00:00,55.664066666666685,55.59
2021-01-22 21:00:00,53.70019999999998,52.91
2021-01-22 22:00:00,48.086400000000005,51.79
2021-01-22 23:00:00,39.33006666666668,46.64
2021-01-23 00:00:00,30.490199999999987,32.6
2021-01-23 01:00:00,25.133133333333344,25.0
2021-01-23 02:00:00,21.051266666666674,14.0
2021-01-23 03:00:00,18.478266666666656,11.96
2021-01-23 04:00:00,18.664533333333328,10.25
2021-01-23 05:00:00,18.745466666666662,10.25
2021-01-23 06:00:00,19.755399999999984,14.0
2021-01-23 07:00:00,24.120199999999997,18.4
2021-01-23 08:00:00,37.42473333333336,23.27
2021-01-23 09:00:00,39.093066666666694,27.05
2021-01-23 10:00:00,39.41499999999999,32.05
2021-01-23 11:00:00,33.828233333333344,30.98
2021-01-23 12:00:00,30.98123333333333,27.51
2021-01-23 13:00:00,32.30649999999999,29.05
2021-01-23 14:00:00,31.832499999999992,29.05
2021-01-23 15:00:00,28.81686666666666,25.0
2021-01-23 16:00:00,29.134733333333322,25.0
2021-01-23 17:00:00,33.440733333333334,26.7
2021-01-23 18:00:00,43.2224,32.8
2021-01-23 19:00:00,48.11986666666663,43.64
2021-01-23 20:00:00,49.04826666666664,49.29
2021-01-23 21:00:00,48.02499999999997,49.98
2021-01-23 22:00:00,44.324266666666645,40.0
2021-01-23 23:00:00,33.535233333333345,32.05
2021-01-24 00:00:00,22.565799999999992,21.2
2021-01-24 01:00:00,18.02726666666667,12.0
2021-01-24 02:00:00,10.009466666666677,3.5
2021-01-24 03:00:00,6.219466666666683,1.95
2021-01-24 04:00:00,6.019466666666684,1.95
2021-01-24 05:00:00,6.032200000000017,3.5
