,Real,Pred,MAE,MAPE
2021-08-20 09:00:00,113.99,109.56972,4.420282592773432,3.8777810270843345
2021-08-20 10:00:00,113.52,105.87778,7.642222900390621,6.732049771309567
2021-08-20 11:00:00,107.45,108.84393,1.3939331054687472,1.2972853471091177
2021-08-20 12:00:00,103.75,112.15395,8.403953552246094,8.100196194935993
2021-08-20 13:00:00,104.51,113.127174,8.617174377441401,8.245310857756579
2021-08-20 14:00:00,100.0,108.84684,8.846839904785156,8.846839904785156
2021-08-20 15:00:00,91.5,102.201546,10.701545715332031,11.695678377412055
2021-08-20 16:00:00,91.2,101.51878,10.318783569335935,11.314455668131506
2021-08-20 17:00:00,95.27,103.00394,7.733936767578129,8.11791410473195
2021-08-20 18:00:00,107.92,109.24626,1.3262615966796858,1.2289303156779892
2021-08-20 19:00:00,114.68,122.01266,7.332657165527337,6.394015665789446
2021-08-20 20:00:00,119.1,125.23735,6.137350463867193,5.153107022558516
2021-08-20 21:00:00,123.0,125.306335,2.30633544921875,1.8750694709095528
2021-08-20 22:00:00,119.1,123.02443,3.924429321289068,3.295070798731375
2021-08-20 23:00:00,115.12,120.117355,4.997355346679683,4.340996652779432
2021-08-21 00:00:00,110.41,116.47996,6.06995758056641,5.497652006671868
2021-08-21 01:00:00,109.39,116.34096,6.950957641601562,6.354289826859459
2021-08-21 02:00:00,106.0,113.38577,7.385772705078125,6.967710099130306
2021-08-21 03:00:00,107.79,108.48531,0.6953134155273375,0.6450630072616546
2021-08-21 04:00:00,105.0,105.37057,0.37056732177734375,0.35292125883556547
2021-08-21 05:00:00,102.0,108.779594,6.779594421386719,6.64666119743796
2021-08-21 06:00:00,107.79,112.395584,4.605584106445306,4.272737829525286
2021-08-21 07:00:00,108.2,114.466835,6.266835021972653,5.791899280935909
2021-08-21 08:00:00,106.0,114.763084,8.763084411621094,8.267060765680277
2021-08-21 09:00:00,99.44,113.68899,14.248987731933596,14.329231427930003
2021-08-21 10:00:00,90.23999999999998,110.600685,20.360685119628926,22.562815957035607
2021-08-21 11:00:00,90.23999999999998,105.65041,15.410413513183613,17.077142634290354
2021-08-21 12:00:00,98.92,102.41083,3.4908276367187483,3.528940190779163
2021-08-21 13:00:00,107.89,103.612946,4.277054443359376,3.9642732814527535
2021-08-21 14:00:00,107.79,99.137856,8.65214447021485,8.02685264886803
2021-08-21 15:00:00,88.20000000000002,90.905655,2.7056549072265454,3.0676359492364456
2021-08-21 16:00:00,88.16999999999999,89.49445,1.3244534301757938,1.5021588183915096
2021-08-21 17:00:00,88.13999999999999,93.6642,5.524199829101576,6.26752873735146
2021-08-21 18:00:00,88.19,105.58555,17.39554840087891,19.72508039559917
2021-08-21 19:00:00,95.0,114.945724,19.945724487304688,20.995499460320723
2021-08-21 20:00:00,100.01,120.32285,20.3128530883789,20.310822006178284
2021-08-21 21:00:00,108.39,121.12139,12.731391296386718,11.745909490162116
2021-08-21 22:00:00,108.0,118.724304,10.72430419921875,9.929911295572918
2021-08-21 23:00:00,91.02,117.03358,26.013576965332035,28.58006698014946
2021-08-22 00:00:00,89.5,106.71308,17.21308135986328,19.232493139512048
2021-08-22 01:00:00,86.62,106.15388,19.533877258300777,22.55123211533223
2021-08-22 02:00:00,86.56,102.65782,16.097821655273435,18.59729858511256
2021-08-22 03:00:00,85.84,101.951996,16.11199584960937,18.76979945201464
2021-08-22 04:00:00,85.84,101.87979,16.03979125976562,18.68568413299816
2021-08-22 05:00:00,86.56,104.3591,17.799100341796873,20.562731448471432
2021-08-22 06:00:00,90.1,106.59616,16.49616088867188,18.30872462671685
2021-08-22 07:00:00,111.29,106.55438,4.735617675781256,4.255205028107876
2021-08-22 08:00:00,114.59,107.194664,7.39533599853516,6.453735926813124
2021-08-22 09:00:00,114.18,106.95242,7.227576904296882,6.329985027410126
2021-08-22 10:00:00,106.98,106.557434,0.422565917968754,0.39499524955015325
2021-08-22 11:00:00,103.47,106.61652,3.1465237426757824,3.0410010077083043
2021-08-22 12:00:00,99.44,107.49495,8.054949340820315,8.100311082884467
2021-08-22 13:00:00,94.0,109.01379,15.013786315917969,15.972113102040392
2021-08-22 14:00:00,96.1,109.445854,13.345854187011724,13.887465335079838
2021-08-22 15:00:00,93.95,101.952126,8.002125549316403,8.517430068458118
2021-08-22 16:00:00,91.02,95.767685,4.7476849365234415,5.216089800619031
2021-08-22 17:00:00,95.0,95.23787,0.2378692626953125,0.25038869757401316
2021-08-22 18:00:00,105.0,98.29219,6.7078094482421875,6.388389950706845
2021-08-22 19:00:00,114.18,102.819336,11.360664062500007,9.949784605447544
2021-08-22 20:00:00,114.18,107.8996,6.280402832031257,5.500440385383829
2021-08-22 21:00:00,115.54,112.924065,2.6159353637695375,2.2640950006660354
2021-08-22 22:00:00,114.18,112.351074,1.8289257812500068,1.6017917159309918
2021-08-22 23:00:00,100.0,108.52287,8.522872924804688,8.522872924804688
2021-08-23 00:00:00,85.74000000000001,96.79881,11.058812866210928,12.898078920236678
2021-08-23 01:00:00,85.49,92.84316,7.353162536621099,8.601196089157913
2021-08-23 02:00:00,85.0,90.16269,5.162689208984375,6.073752010569853
2021-08-23 03:00:00,84.77,88.481575,3.7115750122070352,4.3784062902053025
2021-08-23 04:00:00,84.34,88.204056,3.864055786132809,4.581522155718294
2021-08-23 05:00:00,85.47,89.31891,3.848908691406251,4.503227672172986
2021-08-23 06:00:00,85.84,101.404655,15.564655456542965,18.132170848722
2021-08-23 07:00:00,90.0,110.567474,20.567474365234375,22.85274929470486
2021-08-23 08:00:00,110.63,114.133,3.503003234863286,3.1664134817529477
2021-08-23 09:00:00,106.97,113.08707,6.117066650390626,5.718488034393405
2021-08-23 10:00:00,101.0,104.08044,3.0804367065429688,3.04993733321086
2021-08-23 11:00:00,96.0,97.06169,1.0616912841796875,1.1059284210205078
2021-08-23 12:00:00,91.49,95.781975,4.291974792480474,4.69119553227727
2021-08-23 13:00:00,99.03,96.339096,2.6909039306640636,2.7172613659134237
2021-08-23 14:00:00,112.28,94.07425,18.205750732421876,16.21459808730128
2021-08-23 15:00:00,112.28,90.36398,21.916016845703126,19.519074497419954
2021-08-23 16:00:00,114.95,90.22111,24.728892517089847,21.512738161887643
2021-08-23 17:00:00,114.99,92.879074,22.110925903320307,19.228564138899305
